Date,GDP
1/1/2010,14764.6
4/1/2010,14980.2
7/1/2010,15141.6
10/1/2010,15309.5
1/1/2011,15351.4
4/1/2011,15557.5
7/1/2011,15647.7
10/1/2011,15842.3
1/1/2012,16068.8
4/1/2012,16207.1
7/1/2012,16319.5
10/1/2012,16420.4
1/1/2013,16629.1
4/1/2013,16699.6
7/1/2013,16911.1
10/1/2013,17133.1
1/1/2014,17144.3
4/1/2014,17462.7
7/1/2014,17743.2
10/1/2014,17852.5
1/1/2015,17991.3
4/1/2015,18193.7
7/1/2015,18307
10/1/2015,18332.1
1/1/2016,18425.3
4/1/2016,18611.6
7/1/2016,18775.5
10/1/2016,18968
1/1/2017,19148.2
4/1/2017,19304.5
7/1/2017,19561.9
10/1/2017,19894.8
1/1/2018,20155.5
4/1/2018,20470.2
7/1/2018,20687.3
10/1/2018,20819.3
1/1/2019,21013.1
4/1/2019,21272.4
7/1/2019,21531.8
10/1/2019,21706.5
1/1/2020,21538
4/1/2020,19636.7
7/1/2020,21362.4
10/1/2020,21704.7
1/1/2021,22313.9
4/1/2021,23046.9
7/1/2021,23550.4
10/1/2021,24349.1
1/1/2022,24740.5